inspection_id,string_id,segment_id,inspection_date,yield_strength,wall_thickness,outer_diameter,material_grade,inspection_method,defect_length,defect_depth,remaining_wall,fatigue_damage,corrosion_rate,inspection_confidence
INSP_000000,String_A,303,2023-07-29,77776.23976390615,0.09852432235159558,1.75,CT80,MFL,0.13903762597224587,0.0,84.65639384866863,0.46190444649112267,11.107515730192388,0.8393473243115337
INSP_000001,String_A,369,2023-07-29,77776.23976390615,0.08991278944956645,1.75,CT80,MFL,0.18249853220277187,0.0,83.09634815156437,0.26856915340364423,34.942374214017775,0.9130808933936527
INSP_000002,String_A,378,2023-07-29,77776.23976390615,0.09832388379276423,1.75,CT80,MFL,0.14367556194290404,0.0,73.37802129351368,0.05686363779058194,1.9969788575566985,0.8266777338793588
INSP_000003,String_A,250,2023-07-29,77776.23976390615,0.10332082790994034,1.75,CT80,UT,0.13329052293117796,0.0,75.59106046643608,0.6043264168538148,14.547991136178194,0.824810584272648
INSP_000004,String_A,240,2023-07-29,77776.23976390615,0.08884902642715134,1.75,CT80,MFL,0.1384186805574326,0.0,78.18290668130126,0.4572940130877674,13.125052715504884,0.942615385140118
INSP_000005,String_A,236,2023-08-04,77776.23976390615,0.09042398724664721,1.75,CT80,MFL,0.19884562448610954,0.0,74.4900599974482,0.7719263259561724,30.287987875166298,0.8505868883871279
INSP_000006,String_A,434,2023-08-04,77776.23976390615,0.09544692180387157,1.75,CT80,EMAT,0.2310509409839389,0.0,92.63944611331817,0.21083848935874436,10.875964408421225,0.8002357855111423
INSP_000007,String_A,431,2023-08-04,77776.23976390615,0.0914408972500341,1.75,CT80,UT,0.1917771920634064,0.0,99.43604631862235,0.33571087195775007,3.9623711748036206,0.992843956700735
INSP_000008,String_A,307,2023-08-04,77776.23976390615,0.09305937842551398,1.75,CT80,MFL,0.21216202948317042,0.0,71.22806384884005,0.8508135413328801,1.5202970458637766,0.847349267531656
INSP_000009,String_A,159,2023-08-04,77776.23976390615,0.09541641781940031,1.75,CT80,UT,0.25128246537531623,0.0,74.31331889476287,0.24071779797700543,13.82102913836315,0.9666241073714432
INSP_000010,String_A,393,2023-08-04,77776.23976390615,0.09585092638449301,1.75,CT80,MFL,0.2568029872573843,0.0,86.72952120273938,0.3658353426196379,24.905137011235688,0.8643635868453099
INSP_000011,String_A,182,2023-08-04,77776.23976390615,0.10377619763055539,1.75,CT80,MFL,0.24721053991203804,0.0,84.37432350554056,0.3803180815215088,12.988534146485165,0.8909032666037385
INSP_000012,String_A,261,2024-07-21,77776.23976390615,0.09407624013659088,1.75,CT80,UT,0.265441009846081,0.0,76.19626493867203,0.494299588554658,2.985354536352153,0.9764436642846948
